"","DATETIME (LOCAL)","DATETIME (UTC)","DATE (LT)","DATE (UTC)","REGION","COUNTRY","INCIDENT TYPE","VESSEL TYPE","MAERSK?","VESSEL ACTIVITY LOCATION","LAT","LONG","TIMEZONE","TIME OF DAY","ATTACKS","ATTACK SUCCESS"
"1",2016-01-30 23:34:00,2016-01-30 22:34:00,2016-01-30,2016-01-30,"WEST AFRICA","NIGERIA","FAILED ATTACK, HIJACKING","CONTAINER SHIP","0","OFF SHORE",3,6.25,"Africa/Lagos","EVENING",1,0
"2",2016-01-29 23:40:00,2016-01-29 22:40:00,2016-01-29,2016-01-29,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","PRODUCT TANKER","0","OFF SHORE",2.5,5.75,"Africa/Lagos","EVENING",1,1
"3",2016-01-28 03:00:00,2016-01-28 02:00:00,2016-01-28,2016-01-28,"SOUTH ASIA","INDIA","FAILED ATTACK, ROBBERY","PRODUCT TANKER","0","ANCHORAGE",22.8166666666667,70.1166666666667,"Asia/Kolkata","NIGHT",1,0
"4",NA,NA,2016-01-27,2016-01-27,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","SUSPICIOUS ACTIVITY AT SEA",NA,"0","OFF SHORE",13.9987469444444,54.1127916666667,"Asia/Riyadh","UNKNOWN",1,0
"5",2016-01-25 23:55:00,2016-01-25 22:55:00,2016-01-25,2016-01-25,"SOUTH AMERICA","VENEZUELA","THEFT AT ANCHORAGE","GENERAL CARGO VESSEL","0","ANCHORAGE",10.2675,-63.4325,"America/Caracas","EVENING",1,1
"6",2016-01-25 01:30:00,2016-01-25 00:30:00,2016-01-25,2016-01-25,"SOUTH ASIA","INDIA","ARMED ROBBERY AT SEA","PRODUCT TANKER","0","OFF SHORE",22.7833333333333,70.0333333333333,"Asia/Kolkata","NIGHT",1,1
"7",NA,NA,2016-01-25,2016-01-25,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.83333333333333,5.66666666666667,"Africa/Lagos","UNKNOWN",1,1
"8",2016-01-24 05:18:00,2016-01-24 04:18:00,2016-01-24,2016-01-24,"WEST AFRICA","CONGO","FAILED ATTACK, THEFT","PRODUCT TANKER","0","ANCHORAGE",-4.15833333333333,13.4316666666667,"Africa/Lagos","NIGHT",1,0
"9",2016-01-23 06:30:00,2016-01-23 05:30:00,2016-01-23,2016-01-23,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","LPG TANKER","0","ANCHORAGE",17.65,83.4,"Asia/Kolkata","MORNING",1,1
"10",2016-01-22 01:00:00,2016-01-22 00:00:00,2016-01-22,2016-01-22,"WEST AFRICA","COTE D'IVOIRE","THEFT AT ANCHORAGE","TANKER","0","ANCHORAGE",5.26867861111111,-3.96805444444444,"Africa/Abidjan","NIGHT",1,1
"11",2016-01-21 22:00:00,2016-01-21 21:00:00,2016-01-21,2016-01-21,"WEST AFRICA","NIGERIA","FAILED ATTACK, ROBBERY","SURVEILLANCE VESSEL","0","OFF SHORE",4.25,8.33333333333333,"Africa/Lagos","EVENING",1,0
"12",NA,NA,2016-01-21,2016-01-21,"MIDDLE EAST","YEMEN","COUNTER INSURGENCY/MILITARY OPERATION",NA,"0",NA,15.1844763888889,42.6290988888889,"Asia/Riyadh","UNKNOWN",1,1
"13",2016-01-19 23:25:00,2016-01-19 22:25:00,2016-01-19,2016-01-19,"WEST AFRICA","COTE D'IVOIRE","ARMED ROBBERY AT ANCHORAGE","MERCHANT VESSEL","0","ANCHORAGE",5.21666666666667,-3.96666666666667,"Africa/Abidjan","EVENING",1,1
"14",2016-01-19 12:50:00,2016-01-19 11:50:00,2016-01-19,2016-01-19,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","RO-RO VESSEL","0","OFF SHORE",3.95,5.03305555555556,"Africa/Lagos","AFTERNOON",1,0
"15",2016-01-19 03:20:00,2016-01-19 02:20:00,2016-01-19,2016-01-19,"WEST AFRICA","CONGO","ARMED ROBBERY AT ANCHORAGE","MERCHANT VESSEL","0","ANCHORAGE",-3.55,11.5,"Africa/Lagos","NIGHT",1,1
"16",2016-01-18 07:00:00,2016-01-18 06:00:00,2016-01-18,2016-01-18,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.56666666666667,6.26666666666667,"Africa/Lagos","MORNING",1,1
"17",NA,NA,2016-01-18,2016-01-18,"WEST AFRICA","NIGERIA","INSURGENCY OPERATION",NA,"0",NA,5.66012472222222,5.19248805555556,"Africa/Lagos","UNKNOWN",1,1
"18",2016-01-17 22:18:00,2016-01-17 21:18:00,2016-01-17,2016-01-17,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, ROBBERY","TRAWLER","0","OFF SHORE",4.05,105.85,"Asia/Jakarta","EVENING",1,0
"19",NA,NA,2016-01-16,2016-01-16,"MIDDLE EAST","IRAN","OTHER MARITIME RISK","FISHING DHOW","0",NA,26.5908202777778,50.9802236111111,"Asia/Tehran","UNKNOWN",1,1
"20",2016-01-15 05:40:00,2016-01-15 04:40:00,2016-01-15,2016-01-15,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","TUG","0","OFF SHORE",4.08333333333333,5.41666666666667,"Africa/Lagos","NIGHT",1,1
"21",2016-01-15 01:00:00,2016-01-15 00:00:00,2016-01-15,2016-01-15,"SOUTH EAST ASIA","INDONESIA","THEFT AT ANCHORAGE","SUPPLY VESSEL","0","ANCHORAGE",0.733333333333333,104.15,"Asia/Jakarta","NIGHT",1,1
"22",2016-01-14 14:30:00,2016-01-14 13:30:00,2016-01-14,2016-01-14,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.58333333333333,6.5,"Africa/Lagos","AFTERNOON",1,1
"23",2016-01-14 14:04:00,2016-01-14 13:04:00,2016-01-14,2016-01-14,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","SUPPLY VESSEL","0","OFF SHORE",5.6,5,"Africa/Lagos","AFTERNOON",1,1
"24",2016-01-13 01:00:00,2016-01-13 00:00:00,2016-01-13,2016-01-13,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","FISHING VESSEL","0","OFF SHORE",4.91666666666667,5.5,"Africa/Lagos","NIGHT",1,1
"25",2016-01-12 00:30:00,2016-01-11 23:30:00,2016-01-12,2016-01-11,"WEST AFRICA","NIGERIA","OTHER MARITIME RISK","PRODUCT TANKER","0",NA,6.39916666666667,3.40277777777778,"Africa/Lagos","NIGHT",1,1
"26",2016-01-11 23:55:00,2016-01-11 22:55:00,2016-01-11,2016-01-11,"SOUTH ASIA","INDIA","FAILED ATTACK, ROBBERY","PRODUCT TANKER","0","ANCHORAGE",23.0241738888889,70.2331680555556,"Asia/Kolkata","EVENING",1,0
"27",2016-01-11 20:30:00,2016-01-11 19:30:00,2016-01-11,2016-01-11,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",22.7805555555556,69.9833333333333,"Asia/Kolkata","EVENING",1,1
"28",NA,NA,2016-01-10,2016-01-10,"NORTH AFRICA","LIBYA","TERRORIST ATTACK, OTHER, MARITIME",NA,"0",NA,30.9529169444444,20.1087327777778,"Africa/Tripoli","UNKNOWN",1,1
"29",2016-01-09 15:40:00,2016-01-09 14:40:00,2016-01-09,2016-01-09,"WEST AFRICA","NIGERIA","FAILED ATTACK, ROBBERY","SECURITY VESSEL","0","OFF SHORE",4.41666666666667,5.58333333333333,"Africa/Lagos","AFTERNOON",1,0
"30",2016-01-09 11:00:00,2016-01-09 10:00:00,2016-01-09,2016-01-09,"SOUTH EAST ASIA","SINGAPORE","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,1.31638888888889,104.248888888889,"Asia/Kuala_Lumpur","MORNING",1,0
"31",NA,NA,2016-01-09,2016-01-09,"WEST AFRICA","NIGERIA","COUNTER INSURGENCY/MILITARY OPERATION",NA,"0",NA,4.98333333333333,8.41666666666667,"Africa/Lagos","MORNING",1,1
"32",NA,NA,2016-01-08,2016-01-08,"MIDDLE EAST","EGYPT","TERRORIST ATTACK, OTHER, MARITIME",NA,"0",NA,27.2159613888889,33.8392752777778,"Africa/Cairo","UNKNOWN",1,1
"33",2016-01-07 19:35:00,2016-01-07 18:35:00,2016-01-07,2016-01-07,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","GENERAL CARGO VESSEL","0","ANCHORAGE",22.8166666666667,70.0833333333333,"Asia/Kolkata","EVENING",1,1
"34",2016-01-07 01:54:00,2016-01-07 00:54:00,2016-01-07,2016-01-07,"SOUTH EAST ASIA","VIETNAM","ARMED ROBBERY AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",20.7166666666667,107.15,"Asia/Ho_Chi_Minh","NIGHT",1,1
"35",2016-01-05 05:00:00,2016-01-05 04:00:00,2016-01-05,2016-01-05,"SOUTH EAST ASIA","VIETNAM","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",20.6875,107.175555555556,"Asia/Ho_Chi_Minh","NIGHT",1,1
"36",2016-01-04 23:30:00,2016-01-04 22:30:00,2016-01-04,2016-01-04,"WEST AFRICA","CONGO","FAILED ATTACK, THEFT","MERCHANT VESSEL","0","ANCHORAGE",-3.23770027777778,11.842575,"Africa/Lagos","EVENING",1,0
